cancer,method,n_synth,seed,accuracy,macro_f1,weighted_f1,roc_auc_ovr,class_0_f1,class_1_f1,class_2_f1,class_3_f1,class_4_f1,mmd,correlation_score,training_time_seconds,timestamp
brca,none,0,42,0.8513513513513513,0.7353023909985935,0.8370712484636535,0.9544379788864132,0.9629629629629629,0.8148148148148148,0.8987341772151899,0.6666666666666666,0.3333333333333333,,,0.9837982654571533,2026-05-06T21:12:21
brca,none,0,43,0.8243243243243243,0.7621081153709441,0.8136499984535076,0.9558198607041772,0.9811320754716981,0.8148148148148148,0.8662420382165605,0.5769230769230769,0.5714285714285714,,,1.0687024593353271,2026-05-06T21:12:23
brca,none,0,44,0.8243243243243243,0.7198845598845598,0.8127478127478127,0.9555034206394097,0.9629629629629629,0.8148148148148148,0.8701298701298701,0.6181818181818182,0.3333333333333333,,,0.9110283851623535,2026-05-06T21:12:24
brca,none,0,45,0.831081081081081,0.7719867837579342,0.8249391944766261,0.9635053562755556,0.9811320754716981,0.8,0.864516129032258,0.6428571428571429,0.5714285714285714,,,1.0519397258758545,2026-05-06T21:12:26
brca,none,0,46,0.831081081081081,0.8234316989436203,0.8260604733255505,0.9590961631350986,0.9629629629629629,0.782608695652174,0.864516129032258,0.6181818181818182,0.8888888888888888,,,0.9984602928161621,2026-05-06T21:12:28
coad,none,0,42,0.8529411764705882,0.8426190476190477,0.8516246498599439,0.9863350386495064,0.8,0.88,0.8333333333333334,0.8571428571428571,,,,0.26329612731933594,2026-05-06T21:12:29
coad,none,0,43,0.8529411764705882,0.8426190476190477,0.8516246498599439,0.9822126680166411,0.8,0.88,0.8333333333333334,0.8571428571428571,,,,0.2729651927947998,2026-05-06T21:12:30
coad,none,0,44,0.8823529411764706,0.8888311688311689,0.8820168067226892,0.9757125090052376,0.9090909090909091,0.88,0.9090909090909091,0.8571428571428571,,,,0.2391035556793213,2026-05-06T21:12:31
coad,none,0,45,0.8235294117647058,0.8198717948717948,0.8211915535444948,0.9794129315212523,0.8,0.8461538461538461,0.8333333333333334,0.8,,,,0.2539224624633789,2026-05-06T21:12:32
coad,none,0,46,0.8823529411764706,0.8888311688311689,0.8820168067226892,0.9871122068835713,0.9090909090909091,0.88,0.9090909090909091,0.8571428571428571,,,,0.23537969589233398,2026-05-06T21:12:33
prad,none,0,42,0.86,0.6435817805383023,0.8440165631469979,0.9652440619967795,0.9047619047619048,0.0,0.8695652173913043,0.8,,,,0.3467097282409668,2026-05-06T21:12:35
prad,none,0,43,0.9,0.665909090909091,0.8827272727272728,0.9699869162640902,0.9545454545454546,0.0,0.9090909090909091,0.8,,,,0.35764455795288086,2026-05-06T21:12:36
prad,none,0,44,0.9,0.6830808080808081,0.8835353535353536,0.9693478260869565,0.9545454545454546,0.0,0.8888888888888888,0.8888888888888888,,,,0.4090402126312256,2026-05-06T21:12:37
prad,none,0,45,0.9,0.665909090909091,0.8827272727272728,0.9728623188405798,0.9545454545454546,0.0,0.9090909090909091,0.8,,,,0.3676609992980957,2026-05-06T21:12:38
prad,none,0,46,0.84,0.6006900076667518,0.8323025811397905,0.975528381642512,0.9302325581395349,0.0,0.8571428571428571,0.6153846153846154,,,,0.4581880569458008,2026-05-06T21:12:39
brca,rf_none,0,42,0.777027027027027,0.7233167160976841,0.7641535016432475,0.95439607816562,0.9811320754716981,0.782608695652174,0.8198757763975155,0.46153846153846156,0.5714285714285714,,,1.0930819511413574,2026-05-06T21:18:28
brca,rf_none,0,43,0.7837837837837838,0.7301470760576585,0.772634204725058,0.9549837673126312,0.9811320754716981,0.782608695652174,0.825,0.49056603773584906,0.5714285714285714,,,1.1302883625030518,2026-05-06T21:18:31
brca,rf_none,0,44,0.7837837837837838,0.7301470760576585,0.772634204725058,0.9589709984146279,0.9811320754716981,0.782608695652174,0.825,0.49056603773584906,0.5714285714285714,,,1.1313221454620361,2026-05-06T21:18:33
brca,rf_none,0,45,0.777027027027027,0.7268521773854013,0.7670478400585046,0.9555857875410378,0.9811320754716981,0.782608695652174,0.8176100628930818,0.48148148148148145,0.5714285714285714,,,1.1524415016174316,2026-05-06T21:18:35
brca,rf_none,0,46,0.7837837837837838,0.7334090123539869,0.7752666837800948,0.952926750959481,0.9811320754716981,0.782608695652174,0.8227848101265823,0.509090909090909,0.5714285714285714,,,1.1141088008880615,2026-05-06T21:18:37
brca,rf_smote,1059,42,0.8175675675675675,0.7645847009374125,0.812924031558499,0.9509462677201912,0.9811320754716981,0.8,0.8496732026143791,0.6206896551724138,0.5714285714285714,,,1.6557681560516357,2026-05-06T21:18:42
brca,rf_smote,1059,43,0.8108108108108109,0.7896885449565608,0.8079172678993436,0.9534672200753629,0.9811320754716981,0.88,0.8344370860927153,0.5862068965517241,0.6666666666666666,,,1.5983083248138428,2026-05-06T21:18:45
brca,rf_smote,1059,44,0.8108108108108109,0.7609670803167177,0.8069564615000799,0.955649163179678,0.9811320754716981,0.8,0.8421052631578947,0.6101694915254238,0.5714285714285714,,,1.6308939456939697,2026-05-06T21:18:48
