cancer,baseline,contender,metric,baseline_mean,contender_mean,delta,t_stat,t_pvalue,w_stat,w_pvalue
brca,none,adasyn,accuracy,0.8324,0.8297,-0.0027,-0.371,0.729,6.0,0.875
brca,none,adasyn,macro_f1,0.7625,0.7923,0.0297,2.609,0.059,1.0,0.125
brca,none,adasyn,weighted_f1,0.8229,0.8237,0.0009,0.135,0.899,7.0,1.0
brca,none,adasyn,roc_auc_ovr,0.9577,0.9474,-0.0103,-2.588,0.061,1.0,0.125
brca,none,adasyn_tuned,accuracy,0.8324,0.8122,-0.0203,-2.301,0.083,1.0,0.125
brca,none,adasyn_tuned,macro_f1,0.7625,0.7717,0.0092,0.394,0.714,5.0,0.625
brca,none,adasyn_tuned,weighted_f1,0.8229,0.8082,-0.0147,-1.634,0.178,2.0,0.188
brca,none,adasyn_tuned,roc_auc_ovr,0.9577,0.943,-0.0147,-5.346,0.006,0.0,0.062
brca,none,borderline,accuracy,0.8324,0.8243,-0.0081,-0.638,0.558,4.0,0.875
brca,none,borderline,macro_f1,0.7625,0.7949,0.0323,1.658,0.173,3.0,0.312
brca,none,borderline,weighted_f1,0.8229,0.8208,-0.0021,-0.187,0.861,7.0,1.0
brca,none,borderline,roc_auc_ovr,0.9577,0.9558,-0.0019,-1.047,0.354,3.0,0.312
brca,none,borderline_tuned,accuracy,0.8324,0.8297,-0.0027,-0.389,0.717,4.5,1.0
brca,none,borderline_tuned,macro_f1,0.7625,0.7938,0.0312,1.874,0.134,2.0,0.188
brca,none,borderline_tuned,weighted_f1,0.8229,0.8254,0.0025,0.46,0.669,4.0,0.438
brca,none,borderline_tuned,roc_auc_ovr,0.9577,0.9522,-0.0055,-2.824,0.048,1.0,0.125
brca,none,cvae,accuracy,0.8324,0.8122,-0.0203,-4.243,0.013,0.0,0.062
brca,none,cvae,macro_f1,0.7625,0.6568,-0.1058,-9.478,0.001,0.0,0.062
brca,none,cvae,weighted_f1,0.8229,0.7956,-0.0273,-5.143,0.007,0.0,0.062
brca,none,cvae,roc_auc_ovr,0.9577,0.9309,-0.0267,-3.671,0.021,0.0,0.062
brca,none,mixup,accuracy,0.8324,0.8392,0.0068,0.767,0.486,5.0,0.562
brca,none,mixup,macro_f1,0.7625,0.7714,0.0088,0.469,0.664,7.0,1.0
brca,none,mixup,weighted_f1,0.8229,0.8289,0.006,0.828,0.454,4.0,0.438
brca,none,mixup,roc_auc_ovr,0.9577,0.9562,-0.0015,-0.337,0.753,7.0,1.0
brca,none,random,accuracy,0.8324,0.8243,-0.0081,-1.238,0.284,1.5,0.375
brca,none,random,macro_f1,0.7625,0.7745,0.012,1.396,0.235,4.0,0.438
brca,none,random,weighted_f1,0.8229,0.8177,-0.0052,-0.912,0.413,5.0,0.625
brca,none,random,roc_auc_ovr,0.9577,0.9472,-0.0105,-1.796,0.147,2.0,0.188
brca,none,random_tuned,accuracy,0.8324,0.8243,-0.0081,-1.238,0.284,1.5,0.375
brca,none,random_tuned,macro_f1,0.7625,0.7745,0.012,1.396,0.235,4.0,0.438
brca,none,random_tuned,weighted_f1,0.8229,0.8177,-0.0052,-0.912,0.413,5.0,0.625
brca,none,random_tuned,roc_auc_ovr,0.9577,0.9472,-0.0105,-1.796,0.147,2.0,0.188
brca,none,smote,accuracy,0.8324,0.8081,-0.0243,-1.616,0.181,2.0,0.188
brca,none,smote,macro_f1,0.7625,0.781,0.0185,1.455,0.219,2.0,0.188
brca,none,smote,weighted_f1,0.8229,0.8063,-0.0166,-1.346,0.249,1.0,0.125
brca,none,smote,roc_auc_ovr,0.9577,0.9468,-0.0109,-3.066,0.037,1.0,0.125
brca,none,smote_tuned,accuracy,0.8324,0.8203,-0.0122,-0.704,0.52,4.0,0.875
brca,none,smote_tuned,macro_f1,0.7625,0.7866,0.024,1.891,0.132,2.0,0.188
brca,none,smote_tuned,weighted_f1,0.8229,0.8158,-0.0071,-0.471,0.662,6.0,0.812
brca,none,smote_tuned,roc_auc_ovr,0.9577,0.9474,-0.0102,-2.796,0.049,0.0,0.062
brca,none,wgan_gp,accuracy,0.8324,0.8311,-0.0014,-0.094,0.93,6.5,0.875
brca,none,wgan_gp,macro_f1,0.7625,0.7139,-0.0487,-1.648,0.175,2.0,0.188
brca,none,wgan_gp,weighted_f1,0.8229,0.8128,-0.01,-0.686,0.53,4.0,0.438
brca,none,wgan_gp,roc_auc_ovr,0.9577,0.9553,-0.0024,-0.837,0.449,4.0,0.438
coad,none,adasyn_tuned,accuracy,0.8588,0.8471,-0.0118,-1.633,0.178,0.0,0.5
coad,none,adasyn_tuned,macro_f1,0.8566,0.8383,-0.0182,-1.594,0.186,1.0,0.5
coad,none,adasyn_tuned,weighted_f1,0.8577,0.8458,-0.0119,-1.572,0.191,1.0,0.5
coad,none,adasyn_tuned,roc_auc_ovr,0.9822,0.985,0.0028,1.174,0.306,4.0,0.438
coad,none,borderline,accuracy,0.8588,0.8706,0.0118,1.0,0.374,2.5,0.625
coad,none,borderline,macro_f1,0.8566,0.8655,0.009,0.575,0.596,3.5,0.75
coad,none,borderline,weighted_f1,0.8577,0.8697,0.012,0.994,0.377,2.5,0.5
coad,none,borderline,roc_auc_ovr,0.9822,0.9857,0.0036,2.194,0.093,1.0,0.125
coad,none,borderline_tuned,accuracy,0.8588,0.8471,-0.0118,-1.0,0.374,2.5,0.625
coad,none,borderline_tuned,macro_f1,0.8566,0.8383,-0.0182,-1.36,0.245,2.0,0.375
coad,none,borderline_tuned,weighted_f1,0.8577,0.8458,-0.0119,-0.985,0.38,4.0,0.875
coad,none,borderline_tuned,roc_auc_ovr,0.9822,0.9855,0.0034,1.856,0.137,3.0,0.312
coad,none,cvae,accuracy,0.8588,0.8471,-0.0118,-1.0,0.374,2.5,0.625
coad,none,cvae,macro_f1,0.8566,0.8391,-0.0174,-0.919,0.41,5.0,0.625
coad,none,cvae,weighted_f1,0.8577,0.8455,-0.0121,-0.963,0.39,5.0,0.625
coad,none,cvae,roc_auc_ovr,0.9822,0.9789,-0.0033,-2.353,0.078,1.0,0.125
coad,none,mixup,accuracy,0.8588,0.8588,0.0,-0.0,1.0,4.0,1.0
coad,none,mixup,macro_f1,0.8566,0.8565,-0.0,-0.001,0.999,7.0,1.0
coad,none,mixup,weighted_f1,0.8577,0.8576,-0.0001,-0.003,0.998,5.0,0.625
coad,none,mixup,roc_auc_ovr,0.9822,0.9805,-0.0017,-0.558,0.606,5.0,0.625
coad,none,random,accuracy,0.8588,0.8529,-0.0059,-0.535,0.621,2.0,1.0
coad,none,random,macro_f1,0.8566,0.8426,-0.0139,-1.009,0.37,1.0,0.5
coad,none,random,weighted_f1,0.8577,0.8516,-0.0061,-0.533,0.622,3.0,1.0
coad,none,random,roc_auc_ovr,0.9822,0.9838,0.0017,0.608,0.576,7.0,1.0
coad,none,random_tuned,accuracy,0.8588,0.8471,-0.0118,-1.633,0.178,0.0,0.5
coad,none,random_tuned,macro_f1,0.8566,0.8383,-0.0182,-1.594,0.186,1.0,0.5
coad,none,random_tuned,weighted_f1,0.8577,0.8458,-0.0119,-1.572,0.191,1.0,0.5
coad,none,random_tuned,roc_auc_ovr,0.9822,0.9824,0.0003,0.173,0.871,6.0,0.812
coad,none,smote,accuracy,0.8588,0.8529,-0.0059,-0.535,0.621,2.0,1.0
coad,none,smote,macro_f1,0.8566,0.8473,-0.0092,-0.59,0.587,3.0,0.5
coad,none,smote,weighted_f1,0.8577,0.8516,-0.0061,-0.534,0.621,4.0,0.875
coad,none,smote,roc_auc_ovr,0.9822,0.9803,-0.0019,-0.616,0.571,5.0,0.625
coad,none,smote_tuned,accuracy,0.8588,0.8588,0.0,0.0,1.0,5.0,1.0
coad,none,smote_tuned,macro_f1,0.8566,0.847,-0.0095,-0.612,0.574,3.0,0.5
coad,none,smote_tuned,weighted_f1,0.8577,0.8576,-0.0001,-0.009,0.993,5.0,1.0
coad,none,smote_tuned,roc_auc_ovr,0.9822,0.9817,-0.0005,-0.146,0.891,7.0,1.0
coad,none,wgan_gp,accuracy,0.8588,0.8706,0.0118,0.784,0.477,1.5,0.75
coad,none,wgan_gp,macro_f1,0.8566,0.8655,0.009,0.524,0.628,2.5,1.0
coad,none,wgan_gp,weighted_f1,0.8577,0.8697,0.012,0.781,0.478,1.5,0.75
coad,none,wgan_gp,roc_auc_ovr,0.9822,0.9856,0.0034,1.325,0.256,4.0,0.438
prad,none,adasyn_tuned,accuracy,0.88,0.856,-0.024,-2.058,0.109,1.5,0.188
prad,none,adasyn_tuned,macro_f1,0.6518,0.6239,-0.0279,-1.963,0.121,2.0,0.188
prad,none,adasyn_tuned,weighted_f1,0.8651,0.8574,-0.0077,-0.737,0.502,5.0,0.625
prad,none,adasyn_tuned,roc_auc_ovr,0.9706,0.9562,-0.0144,-7.16,0.002,0.0,0.062
prad,none,borderline,accuracy,0.88,0.84,-0.04,-4.472,0.011,0.0,0.062
prad,none,borderline,macro_f1,0.6518,0.5976,-0.0542,-4.43,0.011,0.0,0.062
prad,none,borderline,weighted_f1,0.8651,0.836,-0.0291,-3.645,0.022,0.0,0.062
prad,none,borderline,roc_auc_ovr,0.9706,0.9393,-0.0313,-3.596,0.023,0.0,0.062
prad,none,borderline_tuned,accuracy,0.88,0.88,0.0,,,,1.0
prad,none,borderline_tuned,macro_f1,0.6518,0.6518,0.0,,,,1.0
prad,none,borderline_tuned,weighted_f1,0.8651,0.8651,0.0,,,,1.0
prad,none,borderline_tuned,roc_auc_ovr,0.9706,0.9706,0.0,,,,1.0
prad,none,cvae,accuracy,0.88,0.868,-0.012,-0.583,0.591,3.0,0.5
prad,none,cvae,macro_f1,0.6518,0.6201,-0.0317,-0.995,0.376,3.0,0.625
prad,none,cvae,weighted_f1,0.8651,0.8526,-0.0125,-0.581,0.593,3.0,0.625
prad,none,cvae,roc_auc_ovr,0.9706,0.9833,0.0128,11.376,0.0,0.0,0.062
prad,none,mixup,accuracy,0.88,0.86,-0.02,-1.118,0.326,1.0,0.5
prad,none,mixup,macro_f1,0.6518,0.6191,-0.0327,-0.999,0.374,2.0,0.375
prad,none,mixup,weighted_f1,0.8651,0.8431,-0.022,-1.117,0.327,3.0,0.625
prad,none,mixup,roc_auc_ovr,0.9706,0.9629,-0.0076,-1.103,0.332,4.0,0.438
prad,none,random,accuracy,0.88,0.852,-0.028,-1.3,0.263,1.5,0.375
prad,none,random,macro_f1,0.6518,0.6158,-0.036,-1.741,0.157,2.0,0.188
prad,none,random,weighted_f1,0.8651,0.8502,-0.0148,-0.777,0.481,5.0,0.625
prad,none,random,roc_auc_ovr,0.9706,0.9512,-0.0194,-3.708,0.021,0.0,0.062
prad,none,random_tuned,accuracy,0.88,0.816,-0.064,-8.552,0.001,0.0,0.062
prad,none,random_tuned,macro_f1,0.6518,0.5789,-0.073,-8.05,0.001,0.0,0.062
prad,none,random_tuned,weighted_f1,0.8651,0.8226,-0.0425,-4.993,0.008,0.0,0.062
prad,none,random_tuned,roc_auc_ovr,0.9706,0.9452,-0.0254,-5.594,0.005,0.0,0.062
prad,none,smote,accuracy,0.88,0.84,-0.04,-3.162,0.034,0.0,0.125
