cancer,method,accuracy,macro_f1,weighted_f1,roc_auc_ovr,n
brca,adasyn,0.83 +/- 0.016,0.792 +/- 0.027,0.824 +/- 0.018,0.947 +/- 0.011,5
brca,adasyn_tuned,0.812 +/- 0.011,0.772 +/- 0.021,0.808 +/- 0.011,0.943 +/- 0.008,5
brca,borderline,0.824 +/- 0.02,0.795 +/- 0.023,0.821 +/- 0.019,0.956 +/- 0.003,5
brca,borderline_tuned,0.83 +/- 0.009,0.794 +/- 0.017,0.825 +/- 0.007,0.952 +/- 0.005,5
brca,cvae,0.812 +/- 0.015,0.657 +/- 0.043,0.796 +/- 0.015,0.931 +/- 0.017,5
brca,cvae_sweep,0.811 +/- 0.019,0.66 +/- 0.052,0.796 +/- 0.019,0.928 +/- 0.021,25
brca,mixup,0.839 +/- 0.01,0.771 +/- 0.039,0.829 +/- 0.009,0.956 +/- 0.007,5
brca,mixup_sweep,0.827 +/- 0.016,0.744 +/- 0.053,0.816 +/- 0.018,0.955 +/- 0.006,25
brca,none,0.832 +/- 0.011,0.763 +/- 0.04,0.823 +/- 0.01,0.958 +/- 0.004,5
brca,random,0.824 +/- 0.014,0.775 +/- 0.027,0.818 +/- 0.012,0.947 +/- 0.014,5
brca,random_tuned,0.824 +/- 0.014,0.775 +/- 0.027,0.818 +/- 0.012,0.947 +/- 0.014,5
brca,rf_none,0.781 +/- 0.004,0.729 +/- 0.004,0.77 +/- 0.005,0.955 +/- 0.002,5
brca,rf_smote,0.811 +/- 0.005,0.765 +/- 0.015,0.807 +/- 0.004,0.954 +/- 0.002,5
brca,smote,0.808 +/- 0.026,0.781 +/- 0.031,0.806 +/- 0.022,0.947 +/- 0.008,5
brca,smote_sweep,0.837 +/- 0.013,0.773 +/- 0.046,0.827 +/- 0.015,0.956 +/- 0.005,25
brca,smote_tuned,0.82 +/- 0.03,0.787 +/- 0.037,0.816 +/- 0.027,0.947 +/- 0.01,5
brca,wgan_gp,0.831 +/- 0.03,0.714 +/- 0.056,0.813 +/- 0.029,0.955 +/- 0.006,5
brca,wgan_gp_sweep,0.832 +/- 0.013,0.701 +/- 0.055,0.815 +/- 0.016,0.947 +/- 0.011,25
brca,xgb_none,0.811 +/- 0.0,0.702 +/- 0.0,0.793 +/- 0.0,0.965 +/- 0.0,5
brca,xgb_smote,0.824 +/- 0.022,0.783 +/- 0.038,0.818 +/- 0.022,0.954 +/- 0.006,5
coad,adasyn_tuned,0.847 +/- 0.013,0.838 +/- 0.01,0.846 +/- 0.013,0.985 +/- 0.007,5
coad,borderline,0.871 +/- 0.016,0.866 +/- 0.023,0.87 +/- 0.017,0.986 +/- 0.005,5
coad,borderline_tuned,0.847 +/- 0.013,0.838 +/- 0.01,0.846 +/- 0.013,0.986 +/- 0.006,5
coad,cvae,0.847 +/- 0.013,0.839 +/- 0.032,0.846 +/- 0.017,0.979 +/- 0.006,5
coad,mixup,0.859 +/- 0.032,0.857 +/- 0.035,0.858 +/- 0.033,0.98 +/- 0.004,5
coad,none,0.859 +/- 0.025,0.857 +/- 0.031,0.858 +/- 0.025,0.982 +/- 0.005,5
coad,random,0.853 +/- 0.0,0.843 +/- 0.0,0.852 +/- 0.0,0.984 +/- 0.005,5
coad,random_tuned,0.847 +/- 0.013,0.838 +/- 0.01,0.846 +/- 0.013,0.982 +/- 0.008,5
coad,rf_none,0.865 +/- 0.016,0.851 +/- 0.012,0.864 +/- 0.016,0.991 +/- 0.001,5
coad,rf_smote,0.882 +/- 0.036,0.859 +/- 0.038,0.88 +/- 0.038,0.989 +/- 0.005,5
coad,smote,0.853 +/- 0.0,0.847 +/- 0.01,0.852 +/- 0.0,0.98 +/- 0.004,5
coad,smote_tuned,0.859 +/- 0.013,0.847 +/- 0.01,0.858 +/- 0.013,0.982 +/- 0.01,5
coad,wgan_gp,0.871 +/- 0.016,0.866 +/- 0.023,0.87 +/- 0.017,0.986 +/- 0.005,5
coad,xgb_none,0.853 +/- 0.0,0.829 +/- 0.0,0.853 +/- 0.0,0.964 +/- 0.0,5
coad,xgb_smote,0.835 +/- 0.026,0.793 +/- 0.024,0.833 +/- 0.027,0.964 +/- 0.009,5
prad,adasyn_tuned,0.856 +/- 0.022,0.624 +/- 0.033,0.857 +/- 0.011,0.956 +/- 0.006,5
prad,borderline,0.84 +/- 0.014,0.598 +/- 0.015,0.836 +/- 0.013,0.939 +/- 0.018,5
prad,borderline_tuned,0.88 +/- 0.028,0.652 +/- 0.032,0.865 +/- 0.025,0.971 +/- 0.004,5
prad,cvae,0.868 +/- 0.027,0.62 +/- 0.059,0.853 +/- 0.031,0.983 +/- 0.005,5
prad,mixup,0.86 +/- 0.028,0.619 +/- 0.061,0.843 +/- 0.035,0.963 +/- 0.014,5
prad,none,0.88 +/- 0.028,0.652 +/- 0.032,0.865 +/- 0.025,0.971 +/- 0.004,5
prad,random,0.852 +/- 0.03,0.616 +/- 0.037,0.85 +/- 0.026,0.951 +/- 0.009,5
prad,random_tuned,0.816 +/- 0.022,0.579 +/- 0.016,0.823 +/- 0.019,0.945 +/- 0.01,5
