cancer,method,class,f1_mean,f1_std,n
brca,adasyn,Basal,0.97,0.016,5
brca,adasyn,HER2,0.883,0.014,5
brca,adasyn,LumA,0.861,0.014,5
brca,adasyn,LumB,0.61,0.035,5
brca,adasyn,Normal,0.637,0.093,5
brca,adasyn_tuned,Basal,0.956,0.027,5
brca,adasyn_tuned,HER2,0.87,0.018,5
brca,adasyn_tuned,LumA,0.847,0.011,5
brca,adasyn_tuned,LumB,0.595,0.011,5
brca,adasyn_tuned,Normal,0.59,0.074,5
brca,borderline,Basal,0.981,0.0,5
brca,borderline,HER2,0.868,0.02,5
brca,borderline,LumA,0.849,0.02,5
brca,borderline,LumB,0.62,0.034,5
brca,borderline,Normal,0.657,0.062,5
brca,borderline_tuned,Basal,0.977,0.008,5
brca,borderline_tuned,HER2,0.845,0.031,5
brca,borderline_tuned,LumA,0.862,0.009,5
brca,borderline_tuned,LumB,0.622,0.022,5
brca,borderline_tuned,Normal,0.662,0.091,5
brca,cvae,Basal,0.952,0.01,5
brca,cvae,HER2,0.782,0.064,5
brca,cvae,LumA,0.862,0.018,5
brca,cvae,LumB,0.622,0.022,5
brca,cvae,Normal,0.067,0.149,5
brca,cvae_sweep,Basal,0.945,0.024,25
brca,cvae_sweep,HER2,0.777,0.065,25
brca,cvae_sweep,LumA,0.863,0.017,25
brca,cvae_sweep,LumB,0.623,0.033,25
brca,cvae_sweep,Normal,0.093,0.199,25
brca,mixup,Basal,0.974,0.016,5
brca,mixup,HER2,0.846,0.03,5
brca,mixup,LumA,0.875,0.012,5
brca,mixup,LumB,0.632,0.018,5
brca,mixup,Normal,0.531,0.191,5
brca,mixup_sweep,Basal,0.968,0.013,25
brca,mixup_sweep,HER2,0.841,0.037,25
brca,mixup_sweep,LumA,0.866,0.019,25
brca,mixup_sweep,LumB,0.611,0.025,25
brca,mixup_sweep,Normal,0.431,0.25,25
brca,none,Basal,0.97,0.01,5
brca,none,HER2,0.805,0.014,5
brca,none,LumA,0.873,0.015,5
brca,none,LumB,0.625,0.033,5
brca,none,Normal,0.54,0.229,5
brca,random,Basal,0.967,0.008,5
brca,random,HER2,0.863,0.014,5
brca,random,LumA,0.859,0.015,5
brca,random,LumB,0.609,0.028,5
brca,random,Normal,0.575,0.135,5
brca,random_tuned,Basal,0.967,0.008,5
brca,random_tuned,HER2,0.863,0.014,5
brca,random_tuned,LumA,0.859,0.015,5
brca,random_tuned,LumB,0.609,0.028,5
brca,random_tuned,Normal,0.575,0.135,5
brca,rf_none,Basal,0.981,0.0,5
brca,rf_none,HER2,0.783,0.0,5
brca,rf_none,LumA,0.822,0.003,5
brca,rf_none,LumB,0.487,0.017,5
brca,rf_none,Normal,0.571,0.0,5
brca,rf_smote,Basal,0.981,0.0,5
brca,rf_smote,HER2,0.834,0.034,5
brca,rf_smote,LumA,0.84,0.007,5
brca,rf_smote,LumB,0.605,0.013,5
brca,rf_smote,Normal,0.562,0.069,5
brca,smote,Basal,0.974,0.01,5
brca,smote,HER2,0.881,0.03,5
brca,smote,LumA,0.835,0.032,5
brca,smote,LumB,0.59,0.025,5
brca,smote,Normal,0.626,0.137,5
brca,smote_sweep,Basal,0.97,0.015,25
brca,smote_sweep,HER2,0.849,0.025,25
brca,smote_sweep,LumA,0.876,0.01,25
brca,smote_sweep,LumB,0.616,0.028,25
brca,smote_sweep,Normal,0.554,0.213,25
brca,smote_tuned,Basal,0.977,0.008,5
brca,smote_tuned,HER2,0.876,0.017,5
brca,smote_tuned,LumA,0.85,0.031,5
brca,smote_tuned,LumB,0.595,0.04,5
brca,smote_tuned,Normal,0.633,0.126,5
brca,wgan_gp,Basal,0.963,0.018,5
brca,wgan_gp,HER2,0.819,0.064,5
brca,wgan_gp,LumA,0.882,0.024,5
brca,wgan_gp,LumB,0.591,0.041,5
brca,wgan_gp,Normal,0.314,0.204,5
brca,wgan_gp_sweep,Basal,0.963,0.015,25
brca,wgan_gp_sweep,HER2,0.827,0.034,25
brca,wgan_gp_sweep,LumA,0.88,0.012,25
brca,wgan_gp_sweep,LumB,0.622,0.034,25
brca,wgan_gp_sweep,Normal,0.213,0.249,25
brca,xgb_none,Basal,0.981,0.0,5
brca,xgb_none,HER2,0.783,0.0,5
brca,xgb_none,LumA,0.854,0.0,5
brca,xgb_none,LumB,0.56,0.0,5
brca,xgb_none,Normal,0.333,0.0,5
brca,xgb_smote,Basal,0.977,0.008,5
brca,xgb_smote,HER2,0.853,0.059,5
brca,xgb_smote,LumA,0.85,0.022,5
brca,xgb_smote,LumB,0.619,0.041,5
brca,xgb_smote,Normal,0.615,0.111,5
coad,adasyn_tuned,CMS1,0.8,0.0,5
