cancer,method,n_synth,mmd,correlation_score
brca,random,1059,0.0292,0.9019
brca,smote,324,0.2258,0.4203
brca,adasyn,321,0.1969,0.4819
brca,borderline,324,0.1977,0.3998
brca,mixup,686,0.0039,0.9862
brca,cvae,686,0.134,0.9504
brca,wgan_gp,686,0.0111,0.9664
coad,random,62,0.0514,0.7728
coad,smote,28,0.1558,0.4564
coad,adasyn,35,0.1507,0.4873
coad,borderline,28,0.1539,0.39
coad,mixup,154,0.0072,0.9522
coad,cvae,154,0.2057,0.9
coad,wgan_gp,154,0.3975,-0.0018
prad,random,191,0.0896,0.5781
prad,smote,100,0.1895,0.3881
prad,adasyn,102,0.1922,0.3782
prad,borderline,0,,
prad,mixup,233,0.0064,0.9461
prad,cvae,233,0.1824,0.8976
prad,wgan_gp,233,0.0511,0.9149
